LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
4,1,3,CAP,1,1973-mm-dd,alpha-Capricornids                      , annual ,123.7,138.7,127.7,307.68,-9.92,0.8,0.5,22.8,307.53,179.83,8.75,89.84,261.25,R      ,2.53,0.59,0.77,269,127.66,7,21,0,0,                                        ,                                                                                                                                                      ,    ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
6,1,5,CAP,1,2008-mm-dd,alpha-Capricornids                      ,2002/06 ,116,128,123.5,302.9,-9.9,0.66,0.28,22.2,302.9,179.4,9.86,89.4,260.14,       ,2.35,0.586,0.75,269.2,123.3,7.3,145,0,0,                                        ,Results obtained using wavelet analysis                                                                                                               ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
9,1,8,CAP,1,23/08/2015,alpha-Capricornids                      ,2010/13 ,101,138,127,306.5,-9.2,0.97,0.24,23,306.57,179.57,9.73,89.57,260.27,  M   1,2.54,0.578,0.774,268.9,125.4,7.5,646,0,0,169P/NEAT                               ,                                                                                                                                                      ,T   ,LookUp table file name,"9] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
10,1,10,CAP,1,16/11/2022,alpha-Capricornids                      , annual ,       ,       ,115.2,300,-11.9,0.63,0.24,25,299.65,184.45,8.5,94.4,261.47,       ,2.4,0.496,0.793,279.1,115.2,7.6,142,0,0,                                        ,mean of solar longitude=105-120 degree                                                                                                                ,T   ,001_CAP1.csv          ,"11) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
11,1,11,CAP,1,16/11/2022,alpha-Capricornids                      , annual ,120.159,126.974,124.1,304.3,-9.9,0.49,0.25,23.2,304.26,180.16,9.55,90.16,260.45,       ,2.586,0.569,0.78,270.2,124.1,7.5,280,0,0,                                        ,mean of solar longitude=120-127 degree                                                                                                                ,T   ,001_CAP2.csv          ,"12) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
12,1,12,CAP,1,16/11/2022,alpha-Capricornids                      , annual ,127.012,138.909,130.4,307.7,-8.3,0.54,0.28,21.9,307.96,177.56,10.31,87.6,259.68,       ,2.584,0.613,0.763,265.2,130.4,7.4,466,0,0,                                        ,mean of solar longitude=127-138 degree                                                                                                                ,T   ,001_CAP3.csv          ,"13) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
13,2,0,STA,1,2002-mm-dd,Southern Taurids                        , annual ,       ,       ,217.3,48.7,13,0.73,0.18,28,49.8,192.5,-4.86,102.46,274.98,       ,2.07,0.352,0.825,115.4,37.3,5.4,97,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2002ESASP.500..177P' target=_blank>Porubcan & Kornos, 2002</A>"
16,2,3,STA,1,2008-mm-dd,Southern Taurids                        ,2002/06 ,172,218,196.5,31,8,0.82,0.29,27.92,31.65,195.15,-4.31,105.11,274.47,       ,1.67,0.31,0.8144,122.5,16,3,2684,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
18,2,5,STA,1,2010-mm-dd,Southern Taurids                        ,2002/08 ,173,217,196,30.9,8.1,0.817,0.291,28.2,31.59,195.59,-4.18,105.55,274.34,       ,1.72,0.3084,0.82,122.26,16,5.3,2497,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
19,2,6,STA,1,23/08/2015,Southern Taurids                        ,2010/13 ,180,272,216,47.9,12.8,0.99,0.26,26.6,49,193,-4.85,102.95,274.98,  M   1,1.95,0.353,0.798,116.6,34.4,5.3,916,247,2,2P/Encke                                ,member of Taurid Complex (247)                                                                                                                        ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
20,2,8,STA,1,16/11/2022,Southern Taurids                        ,periodic,210.052,239.923,224.5,54.9,14.6,0.55,0.05,28,56.06,191.56,-4.8,101.51,274.9,       ,2.122,0.367,0.827,113.1,44.5,5.4,1027,247,0,                                        ,                                                                                                                                                      ,T   ,002_STA0.csv          ,"9) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
21,2,9,STA,1,16/11/2022,Southern Taurids                        , annual ,187.363,212.976,202.4,36.8,9.7,0.8,0.25,28.6,37.64,195.24,-4.6,105.19,274.77,       ,1.813,0.311,0.828,121.3,22.4,5.7,1050,247,0,                                        ,mean of solar longitude=187-213 degree                                                                                                                ,T   ,002_STA1.csv          ,"10) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
22,2,10,STA,1,16/11/2022,Southern Taurids                        , annual ,213.062,230.979,221.6,51.8,13.7,0.7,0.13,27.4,52.91,191.31,-4.96,101.27,275.05,       ,2.034,0.374,0.816,112.7,41.6,5.4,1212,247,0,                                        ,mean of solar longitude=213-231 degree                                                                                                                ,T   ,002_STA2.csv          ,"11) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
23,2,11,STA,1,16/11/2022,Southern Taurids                        , annual ,231.001,257.963,242.1,65.3,14.9,0.69,0.01,23.4,66.02,183.92,-6.51,93.89,276.52,       ,2.105,0.515,0.756,96.4,62.1,5.2,958,247,0,                                        ,mean of solar longitude=231-258 degree                                                                                                                ,T   ,002_STA3.csv          ,"12) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
24,2,12,STA,1,16/11/2022,Southern Taurids                        , annual ,258.129,279.23,265.1,82.9,14.9,0.96,0,20.6,83.07,177.97,-8.37,87.99,278.37,       ,2.14,0.617,0.711,84,85.1,5.4,211,247,0,                                        ,mean of solar longitude=231-258 degree                                                                                                                ,T   ,002_STA4.csv          ,"13) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
25,3,0,SIA,0,1973-mm-dd,Southern iota-Aquariids                 , annual ,112.7,151.7,131.7,333.97,-14.58,0.98,0.31,33.8,330.61,198.92,-3.55,108.88,273.75,R      ,2.36,0.208,0.912,131.8,311.74,6.9,12,298,3,                                        ,Member of 298/IAQ Complex                                                                                                                             ,    ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
27,3,2,SIA,0,2008-mm-dd,Southern iota-Aquariids                 ,2002/06 ,128,133,129.5,332.9,-14.7,0.36,-0.14,30.5,329.6,200.1,-3.3,110.06,273.51,       ,1.546,0.218,0.8587,134.3,309.1,5.3,353,298,3,                                        ,"Member of 298/IAQ Complex. Removed from the List of Established Showers (2015) Jenniskens et al. Trans. IAU, vol 10, issue T28 pp 120-123             ",R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
31,4,3,GEM,1,2008-mm-dd,Geminids                                ,2002/06 ,244,267,261.5,112.8,32.1,1.1,-0.17,35,109.48,207.98,10.19,117.5,258.49,       ,1.416,0.136,0.904,324.6,261.3,24,4384,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
33,4,5,GEM,1,2010-mm-dd,Geminids                                ,2002/08 ,240,273,261,112.5,32.1,1.12,-0.17,34.5,109.23,208.23,10.15,117.75,258.51,       ,1.35,0.1373,0.898,324.95,261,23.2,10381,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
34,4,6,GEM,1,23/08/2015,Geminids                                ,2010/13 ,243,262,262,113.5,32.3,1.15,-0.16,33.8,110.05,208.05,10.48,117.54,258.16,  M   1,1.31,0.145,0.889,324.3,261.7,22.9,5103,0,0,(3200) Phaethon                         ,the Phaeton Complex                                                                                                                                   ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
37,5,2,SDA,1,1970-mm-dd,Southern delta-Aquariids                , annual ,       ,       ,126.7,339.57,-16.27,0.67,0.29,41.01,335.03,208.33,-7.11,118.1,278.06,R      ,2.8,0.079,0.972,150.59,306.71,25.5,28,297,3,                                        ,Member of 297/DAQ Complex                                                                                                                             ,P   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak & Porubcan, 1970</A>"
38,5,3,SDA,1,1973-mm-dd,Southern delta-Aquariids                , annual ,118.7,155.7,125.7,333.78,-16.38,0.72,0.28,41.4,329.79,204.09,-5.17,113.99,275.66,R      ,2.86,0.069,0.976,152.79,305.71,27.2,13,297,3,                                        ,Member of 297/ DAQ                                                                                                                                    ,    ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
39,5,4,SDA,1,1964-mm-dd,Southern delta-Aquariids                ,1961,       ,       ,126.5,340.07,-16.87,0.81,0.29,40.8,335.25,208.75,-7.84,118.46,278.93,R      ,2.33,0.07,0.97,152.39,306.51,32.5,48,297,3,                                        ,"Member of 297/DAQ Complex; a ,q were calculated from 1/a, e                                                                                           ",R   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilsson, 1964</A>"
41,5,6,SDA,1,2008-mm-dd,Southern delta-Aquariids                ,2002/06 ,115,145,126.5,341,-16.1,0.78,0.25,41.1,336.38,209.88,-7.47,119.6,278.6,       ,2.38,0.065,0.9726,153.9,306.2,30.9,4722,297,3,                                        ,Member of 297/DAQ Complex                                                                                                                             ,R   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
43,5,8,SDA,1,23/08/2015,Southern delta-Aquariids                ,2010/13 ,117,146,128,341.3,-15.7,0.95,0.38,41.3,336.8,208.8,-7.21,118.55,278.21,  M   1,2.59,0.069,0.975,152.9,306.6,29,1382,297,3,"2008 Y12, Marsden group                 ",Member of 297/DAQ Complex (!!Who decided?)                                                                                                            ,T   ,LookUp table file name,"9] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
44,5,10,SDA,1,16/11/2022,Southern delta-Aquariids                , annual ,117.912,148.841,129.6,342.1,-15.9,0.8,0.2,40.1,337.44,207.84,-7.69,117.57,278.68,       ,2.512,0.087,0.965,149.7,309.6,26.6,2436,0,0,                                        ,                                                                                                                                                      ,T   ,005_SDA.csv           ,"11) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
45,6,0,LYR,1,1970-mm-dd,April Lyrids                            , annual ,       ,       ,32.2,272.36,33.31,1.17,0.51,47.07,273.59,241.39,56.72,118.8,197.45,R      ,56,0.918,0.984,214.52,32.2,79.51,7,0,0,                                        ,In Kresak and Porubcan 1970 the shower name is Lyrids                                                                                                 ,P   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A>"
47,6,2,LYR,1,1973-mm-dd,April Lyrids                            , annual ,31.4,33.4,32.4,271.86,33.6,1.1,0.31,47.6,272.84,240.44,57.02,118.26,197.75,R      ,28,0.919,0.968,214.32,33.2,79.01,5,0,0,C/1861 G1 (Thatcher)                    ,                                                                                                                                                      ,    ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
49,6,4,LYR,1,2008-mm-dd,April Lyrids                            ,2002/06 ,31,33,32.5,272.3,32.6,1.5,-0.3,47.3,273.47,240.97,56.01,119.26,198.12,       ,22.2,0.913,0.9589,215.8,32.3,80.7,26,0,0,                                        ,Results obtained using wavelet analysis                                                                                                               ,R   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
51,6,6,LYR,1,2010-mm-dd,April Lyrids                            ,2002/08 ,30,34,32,272.2,32.6,0.62,-0.33,46.6,273.32,241.32,56.01,119.37,197.93,       ,10.85,0.9149,0.916,215.71,32,80,1197,0,0,C/1861 G1 (Thatcher)                    ,                                                                                                                                                      ,R   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
52,6,7,LYR,1,23/08/2015,April Lyrids                            ,2010/13 ,21,45,32,272,33.4,0.66,0.02,46.7,273.05,241.05,56.82,118.61,197.56,  M  11,10.8,0.921,0.956,214,32.3,79.4,258,0,0,C/1861 G1 (Thatcher)                    ,                                                                                                                                                      ,T   ,LookUp table file name,"8] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
53,6,9,LYR,1,01/05/2023,April Lyrids                            , annual ,22.53,38.02,32.18,272.2,33.4,0.78,-0.21,46.8,273.36,241.18,56.81,118.66,197.5,       ,25.1,0.921,0.963,214,32.2,79.7,601,0,0,C/1861 G1 (Thatcher)                    ,                                                                                                                                                      ,T   ,006LYR_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
54,7,0,PER,1,1970-mm-dd,Perseids                                , annual ,       ,       ,139.7,47.77,57.79,1.92,-0.1,59.49,62.85,283.15,38.27,139.86,163.91,R    1 ,24,0.949,0.96,150.39,139.7,112.99,254,0,0,109P/Swift-Tuttle                       ,                                                                                                                                                      ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak & Porubcan, 1970</A>"
57,7,3,PER,1,2008-mm-dd,Perseids                                ,2002/06 ,134,142,139.5,46.9,56.9,1.23,0.27,62.1,61.91,282.41,37.59,140.71,164.4,1,-6.4,0.963,1.15,155.1,139.8,116.2,361,0,0,109P/Swift-Tuttle                       ,                                                                                                                                                      ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
59,7,5,PER,1,2010-mm-dd,Perseids                                ,2002/08 ,123,147,140,48,57.2,1.39,0.29,61.4,62.75,282.75,37.67,140.54,164.05,1,-9.91,0.956,1.096,153.12,140,115.6,2024,0,0,109P/Swift-Tuttle                       ,                                                                                                                                                      ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
60,7,6,PER,1,23/08/2015,Perseids                                ,2010/13 ,115,158,140,48.2,58.1,1.4,0.26,59.1,63.26,283.26,38.48,139.64,163.9,  M  11,9.57,0.949,0.95,150.4,139.3,113.1,4367,0,0,109P/Swift-Tuttle                       ,                                                                                                                                                      ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
61,7,8,PER,1,01/05/2023,Perseids                                , annual ,119.56,159.98,138.06,45.5,57.5,1.45,0.21,59.1,61.27,283.21,38.42,139.71,163.92,       ,19.3,0.949,0.951,150.6,138.1,112.9,8862,0,0,109P/Swift-Tuttle                       ,                                                                                                                                                      ,T   ,007PER_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
62,8,0,ORI,1,1970-mm-dd,Orionids                                , annual ,       ,       ,208.7,95.42,15.89,0.68,-0.07,66.53,95.26,246.56,-7.45,155.47,288.2,R    1 ,18,0.578,0.968,81.5,28.71,164.31,30,0,0,1P/Halley                               ,                                                                                                                                                      ,P   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak & Porubcan, 1970</A>"
65,8,3,ORI,1,2008-mm-dd,Orionids                                ,2002/06 ,198,221,207.5,94.7,15.5,0.78,0.03,66.4,94.57,247.07,-7.86,155.83,289.52,1,9.71,0.597,0.9385,80.1,27,163.6,1297,0,0,1P/Halley                               ,                                                                                                                                                      ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
67,8,5,ORI,1,2010-mm-dd,Orionids                                ,2002/08 ,198,227,208,95.5,15.2,0.78,0.02,65.4,95.36,247.36,-8.14,156.02,290.38,1,5.47,0.5746,0.895,83.98,28,162.8,2536,0,0,1P/Halley                               ,                                                                                                                                                      ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
68,8,6,ORI,1,23/08/2015,Orionids                                ,2010/13 ,180,245,209,95.9,15.7,1.03,-0.05,66.3,95.73,246.73,-7.62,155.58,288.71,  M  11,6.87,0.578,0.944,82.2,28.3,163.9,3024,0,0,1P/Halley                               ,The Halley Complex                                                                                                                                    ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016 </A>"
69,8,8,ORI,1,01/05/2023,Orionids                                , annual ,200.28,229.82,210.17,97,15.7,0.8,0.03,66.3,96.8,246.63,-7.57,155.5,288.53,       ,12.1,0.572,0.953,82.7,30.2,164,3909,0,0,1P/Halley                               ,                                                                                                                                                      ,T   ,008ORI_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
70,9,0,DRA,1,1995-mm-dd,October Draconids                       , annual ,       ,       ,203.9,274.7,52.4,       ,       ,16.7,281.64,77.74,75.65,75.98,176.89,       ,2.392,0.995,0.584,178.2,203.9,25.5,7,0,0,                                        ,                                                                                                                                                      ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994CoSka..24..101G' target=_blank>Gavajdova, 1995</A>"
72,9,2,DRA,1,2008-mm-dd,October Draconids                       ,2002/06 ,195,195,195.5,261.7,54.8,0,0,19.7,247.23,51.73,77.58,80.28,172.23,       ,2.89,0.995,0.6561,171.9,196.6,30.3,20,0,0,21P/Giacobini-Zinner                    ,                                                                                                                                                      ,R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
73,9,3,DRA,1,23/08/2015,October Draconids                       ,2010/13 ,195,196,195,262.9,55.7,0.34,-0.05,20.7,249.31,54.31,78.63,80.78,173.31,  M   1,3.15,0.996,0.706,173.2,195,31.4,30,0,0,21P/Giacobini-Zinner                    ,                                                                                                                                                      ,T   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
74,9,6,DRA,1,16/11/2022,October Draconids                       , annual ,191.176,197.451,194.1,262.5,55,0.24,0.56,19.6,249.09,54.99,77.89,80.11,172.98,       ,2.88,0.996,0.654,173,194.1,30,13,0,0,                                        ,                                                                                                                                                      ,T   ,009_DRA.csv           ,"7) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
77,10,2,QUA,1,2008-mm-dd,Quadrantids                             ,2002/06 ,279,285,283.5,231.7,48.5,0.72,-0.55,42,203.57,280.07,63.38,116.18,174.99,       ,3.7,0.975,0.7367,168.5,283.2,72.5,881,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
79,10,4,QUA,1,2010-mm-dd,Quadrantids                             ,2002/08 ,232,291,283,231.5,48.5,0.78,-0.38,41.7,203.33,280.33,63.31,116.23,174.85,       ,3.35,0.9746,0.709,168.14,283,72.4,6614,0,0,2003 EH1                                ,                                                                                                                                                      ,R   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
80,10,5,QUA,1,23/08/2015,Quadrantids                             ,2010/13 ,270,297,283,230.2,49.5,0.56,-0.25,40.7,200.49,277.49,63.65,116.1,176.31,  M   1,2.82,0.979,0.657,171.4,283.3,71.2,1029,0,0,2003 EH1                                ,The Machholz Complex                                                                                                                                  ,T   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
81,10,7,QUA,1,16/11/2022,Quadrantids                             , annual ,280.043,289.761,283.4,230,49.8,0.86,-0.09,40.7,199.86,276.46,63.82,116,176.84,       ,2.872,0.979,0.659,172.4,283.4,71.2,2171,0,0,                                        ,                                                                                                                                                      ,T   ,010_QUA.csv           ,"8) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
82,11,0,EVI,1,1971-mm-dd,eta-Virginids                           , annual ,       ,       ,334.5,173.64,4.86,       ,       ,36,172.24,197.74,1.94,107.73,267.96,R      ,2.637,0.234,0.912,308,334.54,3.51,4,0,0,                                        ,In Lindblad 1971 the shower name is Northern Virginids (Tab. 1a and 1b  No 62)                                                                        ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1971SCoA...12...14L' target=_blank>Lindblad, 1971</A>"
84,11,2,EVI,-7,23/08/2015,eta-Virginids                           ,2013,0,359,357,184.8,3.9,0.92,-0.4,26.6,182.85,185.85,5.49,95.83,264.48,  M   1,2.47,0.46,0.812,281,355.7,5.4,57,0,0,?2003 FB5                               ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
85,11,6,EVI,1,16/11/2022,eta-Virginids                           ,periodic,359.989,0.004,357.2,185.7,3.4,0.75,-0.27,27.3,183.88,186.68,5.39,96.65,264.58,       ,2.488,0.443,0.822,283.3,357.2,5.5,158,0,0,                                        ,                                                                                                                                                      ,T   ,011_EVI.csv           ,"7) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
86,12,0,KCG,1,1973-mm-dd,kappa-Cygnids                           , annual ,136.7,193.7,145.7,286.19,59.04,0,0,24.8,321.98,176.28,79.51,89.32,190.47,R      ,3.09,0.99,0.68,194,145.69,37.99,8,0,0,                                        ,                                                                                                                                                      ,    ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
93,12,7,KCG,1,23/08/2015,kappa-Cygnids                           ,2010/13 ,136,144,141,277.5,52.8,0.4,0.05,20.9,288.7,147.7,75.75,82.44,192.11,  M   1,2.95,0.995,0.662,196.9,140,32.5,25,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"8] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
94,12,11,KCG,1,16/11/2022,kappa-Cygnids                           ,periodic,120.27,158.946,140.4,286.1,49.1,0.56,0.89,22.6,303.29,162.89,70.68,84.42,198.52,       ,3.524,0.968,0.725,206.2,140.4,34,289,0,0,                                        ,                                                                                                                                                      ,T   ,012_KCG.csv           ,"12) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
95,13,0,LEO,1,1973-mm-dd,Leonids                                 , annual ,231.7,237.7,235.2,152.99,22.08,0.57,-0.51,70.7,147.03,271.83,10.22,169.62,169.96,R    1 ,11.5,0.985,0.915,172.51,235.18,162.6,5,0,0,55P/Temple-Tuttle                       ,                                                                                                                                                      ,    ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
97,13,2,LEO,1,1970-mm-dd,Leonids                                 , annual ,       ,       ,235.1,153.39,22.38,0.47,-0.53,70.26,147.27,272.17,10.63,169.15,168.59,R    1 ,10.3,0.984,0.904,172.41,235.08,162.1,9,0,0,55P/Temple-Tuttle                       ,                                                                                                                                                      ,P   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak & Porubcan, 1970</A>"
100,13,5,LEO,1,2008-mm-dd,Leonids                                 ,2002/06 ,228,238,236.5,155,21.6,0.63,-0.27,69,148.97,272.47,10.45,169.26,166.86,1,4.22,0.982,0.7674,170.3,236.2,161.5,126,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
102,13,7,LEO,1,2010-mm-dd,Leonids                                 ,2002/08 ,230,237,237,155.1,21.1,0.55,-0.37,67.3,149.24,272.24,10.02,169.73,167.51,1,2.52,0.9838,0.61,171.11,237,162,2268,0,0,55P/Temple-Tuttle                       ,                                                                                                                                                      ,R   ,LookUp table file name,"8] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
103,13,8,LEO,1,23/08/2015,Leonids                                 ,2010/13 ,220,248,235,153.8,21.8,0.99,-0.36,70.2,147.84,272.84,10.23,169.38,164.66,  M  11,6.63,0.983,0.867,170.8,234.5,162.2,268,0,0,55P/Tempel-Tuttle                       ,                                                                                                                                                      ,T   ,LookUp table file name,"9] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
104,13,13,LEO,1,01/05/2023,Leonids                                 , annual ,217.46,258.99,236.57,154.6,21.4,0.64,-0.4,70.5,148.69,272.12,10.13,169.65,168.3,       ,9.56,0.983,0.897,173.5,236.6,162.4,1507,0,0,55P/Tempel-Tuttle                       ,                                                                                                                                                      ,T   ,013LEO_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
105,15,0,URS,1,2008-mm-dd,Ursids                                  ,2002/06 ,270,270,270.5,222,74.6,0,0,37.6,131.83,221.33,72.79,101.27,193.09,       ,-10.3,0.948,1.09,201.6,270.8,57.3,71,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
108,15,3,URS,1,2010-mm-dd,Ursids                                  ,2002/08 ,269,272,270,222.1,74.8,1.77,-0.05,35.6,131.15,221.15,72.81,101.22,193.12,       ,24.11,0.947,0.961,202.53,270,55.5,1021,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
