LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
1538,1049,1,DIU,0,yyyy-mm-dd,December iota-Ursae Majorids            , annual ,       ,       ,254.6,130.8,48.7,       ,       ,51.2,119.66,225.06,29.38,128.09,231.45,       ,11,0.361,0.936,288.2,254.6,93,37,0,0,                                        ,"In Hajdukova & Neslusan, 2021, Table 5 & 6.                                                                                                           ",T   ,1049_DIU-2_37.csv     ,"2] <A href='https://ui.adsabs.harvard.edu/abs/2021P%26SS..19505152H' target=_blank>Hajdukova and Neslusan, 2021</A>"
1539,1049,2,DIU,0,yyyy-mm-dd,December iota-Ursae Majorids            , annual ,       ,       ,255.8,131.6,51.3,       ,       ,50,119.31,223.51,32.01,125.72,229.24,       ,15,0.405,0.941,282.5,255.8,87.5,16,0,0,                                        ,"In Hajdukova & Neslusan, 2021, Table 5 & 6.                                                                                                           ",T   ,1049_DIU-3_16.csv     ,"3] <A href='https://ui.adsabs.harvard.edu/abs/2021P%26SS..19505152H' target=_blank>Hajdukova and Neslusan, 2021</A>"
1540,1050,0,MZE,0,yyyy-mm-dd,March zeta-Cygnids                      , annual ,       ,       ,2.6,319.1,30.1,       ,       ,41.2,333.91,331.31,43.27,110.46,137.02,       ,48,0.586,0.988,99.4,2.9,61.7,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1541,1051,0,AKC,0,yyyy-mm-dd,April kappa-Cygnids                     , annual ,       ,       ,14.9,287.2,54.9,       ,       ,36.3,313.6,298.7,75.73,102.49,173.03,       ,20.6,0.987,0.952,166.3,14.9,58,97,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1542,1052,0,CAQ,0,yyyy-mm-dd,chi-Aquilids                            , annual ,       ,       ,359.5,293.1,13,       ,       ,57.5,297.55,298.05,34.26,136.84,145.38,       ,18.1,0.688,0.962,111.6,359.5,110.2,52,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1543,1053,0,FDE,0,yyyy-mm-dd,14-Delphinids                           , annual ,       ,       ,14.8,313,5.6,       ,       ,60.5,317.18,302.38,22.28,141.4,127.41,       ,75,0.469,0.994,86.3,14.8,127.1,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1544,1054,0,TDE,0,yyyy-mm-dd,13-Delphinids                           , annual ,       ,       ,18.4,310.1,5.3,       ,       ,62.9,314.09,295.69,22.81,146.17,134.14,       ,66.2,0.623,0.991,103.9,18.4,132.9,26,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1545,1055,0,TVL,0,yyyy-mm-dd,35-Vulpeculids                          , annual ,       ,       ,22.4,322.3,26.4,       ,       ,50.3,335.32,312.92,38.74,124.83,139.68,       ,19.4,0.568,0.971,96.1,88.3,22.4,12,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1546,1056,0,AZC,0,yyyy-mm-dd,April zeta-Cygnids                      , annual ,       ,       ,21.5,320.6,31.7,       ,       ,47.8,336.46,314.96,44.18,120.5,143.98,       ,46.7,0.65,0.986,106.8,21.5,80.3,16,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1547,1057,0,SPG,0,yyyy-mm-dd,sigma-Pegasids                          , annual ,       ,       ,32.5,343.3,9.8,       ,       ,54.7,348.5,316,15.59,132,111.21,       ,20.2,0.147,0.992,43.8,32.5,116.6,21,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1548,1058,0,TPS,0,yyyy-mm-dd,2-Pegasids                              , annual ,       ,       ,39.2,322.9,21.3,       ,       ,59,333.46,294.26,33.84,139.22,148.49,       ,32,0.763,0.996,120.7,39.2,114.9,18,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1549,1059,0,MKQ,0,yyyy-mm-dd,May kappa-Aquariids                     , annual ,       ,       ,57.4,338.2,-4.9,       ,       ,69.6,338.02,280.62,3.95,168.68,110.53,       ,16,0.908,0.943,142.2,57.4,173.2,42,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1550,1060,0,NSE,0,yyyy-mm-dd,Northern nu-Serpentids                  , annual ,       ,       ,61.4,260.2,-14.6,       ,       ,35.8,260.41,199.01,8.51,108.8,261,       ,2.83,0.208,0.929,310.2,61.4,15.6,590,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1551,1061,0,EPO,0,yyyy-mm-dd,epsilon-Ophiuchids                      , annual ,       ,       ,44.3,243.2,-6.5,       ,       ,39.4,242.45,198.15,14.41,107.56,254.87,       ,13.4,0.227,0.983,304.1,44.3,28.9,97,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1552,1063,0,EOC,0,yyyy-mm-dd,eta1-Coronae Australids                 , annual ,       ,       ,75.9,285.4,-44.5,       ,       ,42.6,281.76,205.86,-21.69,113.91,293.84,       ,13.1,0.231,0.983,123.3,255.9,53,64,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1553,1064,0,JER,0,yyyy-mm-dd,June eta-Eridanids                      , annual ,       ,       ,89.3,45,-14.7,       ,       ,55.6,37.59,308.29,-30.32,132.65,46.65,       ,94.3,0.507,0.995,269.8,269.3,106.9,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1554,1065,0,NAT,0,yyyy-mm-dd,nu-Arietids                             , annual ,       ,       ,95.7,37.2,24.1,       ,       ,60.4,42.61,306.91,8.92,142.18,104.65,       ,35.5,0.244,0.992,59,95.7,152.9,29,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1555,1066,0,FOR,0,yyyy-mm-dd,Fornacids                               , annual ,       ,       ,116.1,37.4,-31.1,       ,       ,57.3,21.77,265.67,-42.9,136.92,355.36,       ,17.5,1.01,0.942,8.8,296.1,108,103,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1556,1067,0,ESC,0,yyyy-mm-dd,eta-Sculptorids                         , annual ,       ,       ,114.7,8.3,-34.4,       ,       ,56,351.95,237.25,-34.45,133.91,321.74,       ,30.2,0.654,0.979,74.2,294.7,107.8,43,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1557,1068,0,TPE,0,yyyy-mm-dd,July theta-Perseids                     , annual ,       ,       ,110.8,43.4,48.3,       ,       ,56.1,55.99,305.19,30.21,134.93,135.3,       ,14.4,0.547,0.965,93.4,110.8,109.8,56,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1558,1069,0,JOP,0,yyyy-mm-dd,July omicron-Pavonids                   , annual ,       ,       ,111.8,318.6,-72.6,       ,       ,29.2,291.79,179.99,-52.83,90,322.83,       ,35.6,0.823,0.977,52,291.8,38.6,17,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1559,1070,0,SCE,0,yyyy-mm-dd,77-Cetids                               , annual ,       ,       ,128.4,37.7,-6.4,       ,       ,67.5,33.13,264.73,-20.12,159.23,345.93,       ,21.6,0.997,0.954,15.7,308.4,146.4,305,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1560,1071,0,IHD,0,yyyy-mm-dd,iota-Hydrusids                          , annual ,       ,       ,122.9,44.3,-77.3,       ,       ,29.4,302.48,179.58,-72.96,89.88,342.96,       ,15.6,0.971,0.98,24,302.9,43.5,15,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1561,1072,0,AUA,0,yyyy-mm-dd,August Aquariids                        , annual ,       ,       ,132.9,316.7,0.2,       ,       ,28.5,319.22,186.32,16.02,96.07,253.89,       ,3.69,0.463,0.873,279.3,132.9,16.6,28,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1562,1073,0,GGR,0,yyyy-mm-dd,gamma-Gruids                            , annual ,       ,       ,140.8,327.2,-36.1,       ,       ,27.1,316.88,176.08,-21.5,86.36,291.54,       ,20,0.625,0.969,77.2,320.8,17.8,66,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
